partner_id,journal_id,move_name,product_id,quantity,analytic_distribution,price_unit,move_id
1164,2,,24552,1,{'286': 100},22710.0,24618
1004,2,,24552,1,{'235': 100},2197.8,24619
648,2,,24617,1,{'235': 100},2091.6,24608
944,2,,24618,1,{'235': 100},4719.93,24620
1019,2,,24554,1,{'235': 100},8800.0,24609
1159,2,nLdSAKnBhwgeDPMYG4Qf,24565,10,{'218': 417.53},417.53,24610
1159,2,zle1pul6nmW0ZmQFskQM,24565,1,{'218': 5736.96},5736.96,24610
1159,2,HMNqeLhKJNAUEspL5NNG,24565,1,{'218': 5308.0},5308.0,24610
1159,2,rUsPxE1K2CP3dgkPVMyn,24565,4,{'218': 3199.72},3199.72,24610
1159,2,Xmziv4ErvGK9SG4OI63o,24565,8,{'218': 393.44},393.44,24610
724,2,,24619,1,{'218': 100},16901.9,24621
936,2,,24620,1,{'235': 100},6641.25,24611
655,2,,24621,1,{'218': 100},10490.22,24622
648,2,,24622,1,{'235': 100},2673.25,24612
1175,2,,24623,1,{'238': 100},16528.93,24623
1079,2,dkraMe9zeU5nbgG5Q7RK,24558,1,{'238': 11850.2},11850.2,24624
1079,2,W7HxyCjmmshmYgwGJlGX,24558,1,{'238': 537.42},537.42,24624
1079,2,ZQk1crT0YbfZxT3qnJOw,24558,1,{'238': 32313.01},32313.01,24624
1079,2,COTS6hQ695bUvntmjlqJ,24558,1,{'238': 1757.6},1757.6,24624
1079,2,QPLe2GHilMfAOEJ47Bpa,24558,1,{'238': 5440.95},5440.95,24624
1079,2,7jVTGpnarWCVoNRtzUGO,24558,1,{'238': 5600.57},5600.57,24624
1079,2,Sg4Ot4MrBddw4RPk21YK,24558,1,{'238': 3219.82},3219.82,24624
1079,2,RFRcQfI1rlfQ2qu5K4qq,24558,1,{'238': 3039.0},3039.0,24624
649,2,,24624,1,{'286': 100},10485.15,24613
694,2,1GnZgN4LR6gu9glRicrt,24626,1,{'222': 100},0.0,24625
1069,2,,24625,1,{'218': 100},1180960.0,24614
967,2,,24627,1,{'218': 100},36300.0,24615
744,2,,24628,1,{'235': 100},3079.99,24626
861,2,,24629,1,{'258': 100},301151.17,24616
642,2,,24630,1,{'235': 100},35780.82,24627
861,2,,24629,1,{'258': 100},226730.56,24617
754,2,mFFFEJ8fDxsyGW2vlvsr,24558,232.118,{'258': 816.373},816.373,24628
754,2,MN1NxHNjyvxC71nWN6dF,24558,27,{'258': 601.964},601.964,24628
1164,2,,24554,1,{'286': 100},22710.0,24618
657,2,,24584,1,{'235': 100},5600.0,24629
1004,2,,24554,1,{'235': 100},2197.8,24619
1148,2,,24553,1,{'235': 100},162400.0,24630
866,2,,24552,1,{'274': 100},629200.0,24631
862,2,uISt6O5nqVcPOcJE6G86,24558,4,{'244': 9600.0},9600.0,24632
862,2,apbZxDcjXVvatt5u7NYf,24558,4,{'244': 9800.0},9800.0,24632
862,2,xyYzkP4zPr8P5UMXlqIT,24558,1,{'244': 190000.0},190000.0,24632
862,2,RZg4lNFEp4RidPV6elHA,24558,4,{'244': 6800.0},6800.0,24632
862,2,e2DMNaLr3yghv9MtK318,24558,2,{'244': 9800.0},9800.0,24632
862,2,gAyq8YPNAV5KA7KwoKUh,24558,4,{'244': 10200.0},10200.0,24632
862,2,khx4DTJ23wg5obnj2Jgh,24558,2,{'244': 111.111},111.111,24632
862,2,a08Gg66vY8kMsXuBONnq,24558,2,{'244': 120000.0},120000.0,24632
862,2,L4SMaD4qSpzvlOBp5PB1,24558,1,{'244': 340000.0},340000.0,24632
717,2,,24632,1,{'263': 100},996930.0,24633
944,2,,24631,1,{'235': 100},4719.93,24620
671,2,,24633,1,{'282': 100},27830.0,24634
724,2,,24634,1,{'218': 100},16901.9,24621
918,2,,24635,1,{'286': 100},62856.93,24635
655,2,,24636,1,{'218': 100},10490.22,24622
954,2,,24637,1,{'238': 100},8571.77,24636
1013,2,URBKnXbPUlRZVMpImMzv,24558,1,{'247': 15200.0},15200.0,24637
1013,2,TEbl80QVTNK78kFB6WTL,24558,1,{'247': 1800.0},1800.0,24637
1175,2,,24638,1,{'238': 100},16528.93,24623
1079,2,dkraMe9zeU5nbgG5Q7RK,24565,1,{'238': 11850.2},11850.2,24624
1079,2,W7HxyCjmmshmYgwGJlGX,24565,1,{'238': 537.42},537.42,24624
1079,2,ZQk1crT0YbfZxT3qnJOw,24565,1,{'238': 32313.01},32313.01,24624
1079,2,COTS6hQ695bUvntmjlqJ,24565,1,{'238': 1757.6},1757.6,24624
1079,2,QPLe2GHilMfAOEJ47Bpa,24565,1,{'238': 5440.95},5440.95,24624
